f—D,v,<,DeepSeek,DeepSeek,-,Into,t...,(,/*,Dashboard.mo...,4,Create,Next,App,€,www.onei.gob.cu/sites/de,@,@,(G),js,csv,-,Buscar,c...,Visualizaci6n,de...,4,Create,Next,App,a,+
16.8,-,Certificacién,de,los,docentes,frente,al,aula,por,educaciones,(a),,,,,,,,,,,,,,,,,,,,,
Unidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCEPTO,2015/16,2016/17,2017/18,2018/19,2019/20,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,de,maestros,primarios,83.076,82.393,80,598,80,131,84,436,,,,,,,,,,,,,,,,,,,,,
De,ellos:,Universitarios,65.067,62.379,60,735,58,550,62,588,,,,,,,,,,,,,,,,,,,,,,
%,Universitarios,"78,3","75,7","75,4","73,1","74,1",,,,,,,,,,,,,,,,,,,,,,,,,,
%,Docentes,certificados,"100,0","100,0","100,0","100,0","100,0",,,,,,,,,,,,,,,,,,,,,,,,,
Media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,de,docentes,77.182,73.125,69.562,66.371,69.945,,,,,,,,,,,,,,,,,,,,,,,,,
De,ellos:,Universitarios,66.949,62.758,59.217,55.391,58.505,,,,,,,,,,,,,,,,,,,,,,,,,
%,Universitarios,"86,7","85,8","85,1","83,5","83,6",,,,,,,,,,,,,,,,,,,,,,,,,,
%,Docentes,certificados,"100,0","100,0","100,0","100,0","100,0",,,,,,,,,,,,,,,,,,,,,,,,,
Secundaria,basica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,de,docentes,39.280,37.449,35,431,33,355,33,892,,,,,,,,,,,,,,,,,,,,,,
De,ellos:,Universitarios,33.269,31.192,29,461,27,168,28,192,,,,,,,,,,,,,,,,,,,,,,
%,Universitarios,"84,7","83,3","83,2","81,5","83,2",,,,,,,,,,,,,,,,,,,,,,,,,,
%,Docentes,certificados,"100,0","100,0","100,0","100,0","100,0",,,,,,,,,,,,,,,,,,,,,,,,,
Preuniversitario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,de,docentes,15.758,14.909,14,309,13,603,13,862,,,,,,,,,,,,,,,,,,,,,,
De,ellos:,Universitarios,14.999,14.164,13,338,12,610,13,019,,,,,,,,,,,,,,,,,,,,,,
%,Universitarios,"95,2","95,0","93,2","92,7","93,9",,,,,,,,,,,,,,,,,,,,,,,,,,
%,Docentes,certificados,"100,0","100,0","100,0","100,0","100,0",,,,,,,,,,,,,,,,,,,,,,,,,
Técnica,y,profesional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,de,docentes,18.708,17.539,16,481,16,088,18,392,,,,,,,,,,,,,,,,,,,,,,
De,ellos:,Universitarios,15.528,14.472,13,330,12,597,13,778,,,,,,,,,,,,,,,,,,,,,,
%,Universitarios,"83,0","82,5","80,9","78,3","74,9",,,,,,,,,,,,,,,,,,,,,,,,,,
%,Docentes,certificados,"100,0","100,0","100,0","100,0","100,0",,,,,,,,,,,,,,,,,,,,,,,,,
Escuelas,de,oficios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,de,docentes,1.192,1.079,1055,1,009,1,102,,,,,,,,,,,,,,,,,,,,,,,
De,ellos:,Universitarios,988,845,904,878,914,,,,,,,,,,,,,,,,,,,,,,,,,
%,Universitarios,"82,9","78,3","85,7","87,0","82,9",,,,,,,,,,,,,,,,,,,,,,,,,,
%,Docentes,certificados,"100,0","100,0","100,0","100,0","100,0",,,,,,,,,,,,,,,,,,,,,,,,,
Formaci6n,personal,pedagégico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,de,docentes,2.244,2.149,2,286,2,316,2,697,,,,,,,,,,,,,,,,,,,,,,
De,ellos:,Universitarios,2.165,2.085,2,184,2,138,2,602,,,,,,,,,,,,,,,,,,,,,,
%,Universitarios,"96,5","97,0","95,5","92,3","96,5",,,,,,,,,,,,,,,,,,,,,,,,,,
%,Docentes,certificados,"100,0","100,0","100,0","100,0","100,0",,,,,,,,,,,,,,,,,,,,,,,,,
Educacion,especial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,de,docentes,9.355,9.132,8,681,8,685,8,812,,,,,,,,,,,,,,,,,,,,,,
De,ellos:,Universitarios,8.452,8.019,7,397,7,390,7,586,,,,,,,,,,,,,,,,,,,,,,
%,Universitarios,"90,3","87,8","85,2","85,1","86,1",,,,,,,,,,,,,,,,,,,,,,,,,,
%,Docentes,certificados,"100,0","100,0","100,0","100,0","100,0",,,,,,,,,,,,,,,,,,,,,,,,,
Educacion,de,adultos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,de,docentes,4.037,4.189,4,263,4133,4,188,,,,,,,,,,,,,,,,,,,,,,,
De,ellos:,Universitarios,3.991,4.035,4079,3,987,4065,,,,,,,,,,,,,,,,,,,,,,,,
%,Universitarios,"98,9","96,32","95,7","96,5","97,1",,,,,,,,,,,,,,,,,,,,,,,,,,
%,Docentes,certificados,"100,0","100,0","100,0","100,0","100,0",,,,,,,,,,,,,,,,,,,,,,,,,
®),Se,refiere,a,los,centros,del,Ministerio,de,Educacion.,,,,,,,,,,,,,,,,,,,,,,,
