CONCEPTO,2015/16,2016/17,2017/18,2018/19,2019/20,,,,
Total,10.516,10.561,10.584,10.598,10.626,,,,
Circulos,Infantiles,(en,Junio,30),1.083,1.084,1.084,1.088,1.085
Primaria,6.837,6.863,6.887,6.908,6.921,,,,
Urbana,2.083,2,084,2,081,2,080,2,081
Rural,4.754,4779,4,806,4,828,4,840,
Media,1.764,1.756,1.744,1.735,1.736,,,,
Secundaria,basica,1.010,1.015,1.010,996,994,,,
Urbana,890,893,896,886,887,,,,
Rural,120,122,114,110,107,,,,
Preuniversitario,299,296,302,302,299,,,,
Urbano,246,242,240,239,241,,,,
Rural,38,39,47,47,42,,,,
Ciencias,exactas,15,15,15,16,16,,,
Ciencias,pedagdgicas,-,-,-,-,-,,,
Técnica,y,profesional,®,432,421,406,410,414,
Ministerio,de,Educacién,”),374,366,356,361,365,
Otros,organismos,58,55,50,49,49,,,
Formaci6n,personal,pedagdgico,23,24,26,27,29,,
Adultos,375,409,425,429,447,,,,
Educacion,obrero,campesina,25,28,17,15,11,,
Secundaria,obrero,campesina,4,7,8,10,6,,
Facultad,obrero,campesina,303,299,312,311,318,,
Idiomas,43,75,88,93,112,,,,
Especial,360,354,349,342,341,,,,
Escuelas,de,arte,37,37,37,37,37,,
Escuelas,de,deporte,17,17,17,18,18,,
Superior,43,41,41,41,41,,,,
Ministerio,de,Educacién,Superior,22,22,22,22,22,
Ministerio,de,Educacién,1,-,-,-,-,,
Ministerio,de,Salud,Publica,16,16,16,16,16,
Otros,organismos,4,3,3,3,3,,,
De,ello:,Centros,universitarios,municipales,123,126,121,120,124
