Unidad,,,,,,,,
RAMAS,DE,LA,CIENCIA,2014/15,2015/16,2016/17,2017/18,2018/19
Total,36.261,23.971,23.478,22.344,22.803,,,
Ciencias,técnicas,4.940,4.669,4.465,4.176,4.003,,
Ciencias,naturales,y,matematicas,693,663,625,663,571
Ciencias,agropecuarias,1.147,683,788,885,820,,
Ciencias,econdmicas,2.670,1.880,1.670,1.595,1.680,,
Ciencias,sociales,y,humanisticas,5.304,3.143,2.184,1.955,1.958
Pedagogia,2.866,2.226,3.869,4.121,3.087,,,
Ciencias,médicas,16.082,9.015,9.135,8.098,9.450,,
Cultura,fisica,2.358,1.459,475,584,962,,
Arte,201,233,267,267,272,,,
