Unidad,,,,,,,,,,,
RAMAS,DE,LA,CIENCIA,2014/15,2015/16,2016/17,2017/18,2018/19,,,
Total,20.089,14.500,15.235,13.910,13.738,,,,,,
Ciencias,técnicas,1.906,1.951,1,825,1579,1,454,,,
Ciencias,naturales,y,matematicas,358,356,374,384,303,,,
Ciencias,agropecuarias,446,353,445,397,312,,,,,
Ciencias,econdmicas,1.850,1.310,1176,1157,1,166,,,,
Ciencias,sociales,y,humanisticas,3.828,2.319,1,588,1,468,1,478
Pedagogia,1.373,1.741,3041,2,855,2,084,,,,
Ciencias,médicas,9.583,6.032,6,471,5,594,6,534,,
Cultura,fisica,620,304,151,312,249,,,,,
Arte,125,134,164,164,158,,,,,,
