Unidad,,,,,,,,,,,
CONCEPTO,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,,,,,
Total,1177,1177,1184,1,184,1,187,1214,,,
De,ello:,,,,,,,,,,
Circulos,infantiles,79,82,82,82,83,85,,,,
Primaria,832,844,847,848,851,858,,,,,
Urbana,178,177,177,177,177,184,,,,,
Rural,654,667,670,671,674,674,,,,,
Media,170,172,171,170,168,166,,,,,
Secundaria,basica,100,101,102,101,102,101,,,,
De,ello:,En,el,campo,10,10,11,11,12,12,
Preuniversitario,31,32,30,32,30,30,,,,,
De,ello:,En,el,campo,4,4,4,5,4,4,
Ciencias,exactas,1,1,1,1,1,1,,,,
Técnica,y,profesional,37,37,37,35,34,32,,,
De,ello:,Escuelas,de,oficios,2,2,2,2,2,2,
Centros,Politécnicos,Otros,Organismos,2,2,2,2,2,2,,
Escuela,de,Formaci6én,de,Personal,Pedagégico,2,2,2,2,2,3
Escuelas,de,Arte,3,3,3,3,3,3,,,
Escuelas,de,Deporte,1,1,1,1,1,1,,,
Adultos,29,29,34,34,35,34,,,,,
Educacién,Obrero,Campesina,7,7,6,6,5,5,,,
Secundaria,Obrero,Campesina,1,1,-,-,-,-,,,
Facultad,Obrero,Campesina,18,18,23,23,24,23,,,
Idiomas,3,3,5,5,6,6,,,,,
Especial,46,46,46,46,46,47,,,,,
Otros,-,-,-,-,-,20,,,,,
