CONCEPTO,2014/15,2015/16,2016/17,2017/18,2018/19,,,,,
Total,18,062,17,967,14,268,17,686,17,403
Primaria,6,032,5,942,5,384,5,260,5271,
Media,11,522,11177,7,897,10,822,10,525,
Secundaria,basica,6,215,6,067,3010,5,860,5,528
Preuniversitario,2,980,2,923,2,838,2901,2,986,
Técnica,y,profesional,1951,1811,1718,1698,1,596,,
Formacion,de,personal,pedagdégico,376,376,331,363,415,,
Adultos,256,623,814,1,376,1412,,,,
Educacién,Obrero,Campesina,54,27,15,24,13,,,
Secundaria,Obrero,Campesina,92,51,64,50,47,,,
Facultad,Obrero,Campesina,-,545,646,1,027,1179,,
Idiomas,110,65,89,275,173,,,,,
Especial,252,225,173,228,195,,,,,
